gs_long,counts,condition
Pcna,NA,NL2_A
Ptpra,5713704.62410072,NL2_A
Ctsd,10342616.9873143,NL2_A
Bsg,1411740.31352323,NL2_A
Slc7a2,5538893.08055661,NL2_A
Rps6ka1,NA,NL2_A
Rps6ka3,NA,NL2_A
Cfl1,48820004.8222221,NL2_A
Phka1,5550412.73259205,NL2_A
Gnao1,563335109.30322,NL2_A
KRT15,NA,NL2_A
KRT4,76297.2481818031,NL2_A
Fasn,76155273.7269118,NL2_A
Lama1,NA,NL2_A
Gstp1,13422057.479463,NL2_A
Nefh,101629.484344137,NL2_A
Rpl13a,10267127.3961532,NL2_A
Mpv17,NA,NL2_A
Serpinh1,NA,NL2_A
Nelfe,NA,NL2_A
Cox5b,8366223.1892048,NL2_A
Cox4i1,NA,NL2_A
Hspa5,11604886.5322286,NL2_A
Prdx3,25199639.8948655,NL2_A
Vim,12235280.3714224,NL2_A
Map2,70051442.0672382,NL2_A
Prkca,3121510.70512747,NL2_A
Mag,373969.698874764,NL2_A
Tpm3,NA,NL2_A
Ubl4a,NA,NL2_A
Gna11,NA,NL2_A
Gnaq,876798.998573968,NL2_A
Akr1b7,582889.885973753,NL2_A
Abcb1a,NA,NL2_A
Cst3,741373.542794818,NL2_A
Eno3,NA,NL2_A
Lmnb2,NA,NL2_A
Pcsk2,NA,NL2_A
Ache,NA,NL2_A
Emb,NA,NL2_A
Fech,NA,NL2_A
Cbl,3757185.73870577,NL2_A
Gabrg2,2949493.07694899,NL2_A
Ap1g1,1585270.74683632,NL2_A
Hmbs,25139.0249060882,NL2_A
Gabrd,NA,NL2_A
Eif3a,2151830.03822294,NL2_A
Cbx3,NA,NL2_A
Gja1,194604037.93536,NL2_A
Prkch,NA,NL2_A
Pnp,3517762.5546254,NL2_A
Pcmt1,NA,NL2_A
Gria1,1621854.79980958,NL2_A
Gria2,9488876.93053704,NL2_A
Cat,1090133.9093868,NL2_A
Bcat1,NA,NL2_A
Ppib,NA,NL2_A
Lta4h,5801697.23565283,NL2_A
Th,NA,NL2_A
Aldh1a1,1905020.72672475,NL2_A
M6pr,NA,NL2_A
Cdk11b,NA,NL2_A
Rps2,14930122.2219371,NL2_A
Ubtf,NA,NL2_A
Tln1,27974315.2155466,NL2_A
Ezr,218936201.655337,NL2_A
Msn,2701130.78176384,NL2_A
Rdx,9578891.75446308,NL2_A
Gabra2,6566455.73829091,NL2_A
Gabra3,2019204.42827804,NL2_A
Ctnna1,134057915.176868,NL2_A
U2af2,NA,NL2_A
Glud1,572899343.999373,NL2_A
Pik3r1,1005819.73201443,NL2_A
Psmd7,NA,NL2_A
Sars1,3508111.39094056,NL2_A
Marcks,2898904.55416055,NL2_A
Fkbp1a,4196633.26225982,NL2_A
Cers1,2842243.51713414,NL2_A
Map4,76609687.5011869,NL2_A
Gna12,NA,NL2_A
Gna13,526470.731077339,NL2_A
Plaa,29686507.6925457,NL2_A
Rpl3,352288595.374814,NL2_A
Rasgrf1,950441.999485227,NL2_A
Gabrg3,NA,NL2_A
Pdia3,22221.5181399188,NL2_A
Vav1,NA,NL2_A
Braf,910441.618166955,NL2_A
Mt3,1103270.77380447,NL2_A
Aco1,12722717.7810788,NL2_A
Apex1,1391925.93045459,NL2_A
Adh5,1241452.1177325,NL2_A
Slc6a9,41535976.7657811,NL2_A
Adss1,NA,NL2_A
Camk2b,9522067.62558405,NL2_A
Nap1l1,1745777.69918994,NL2_A
Atxn10,164359.733728035,NL2_A
Celf1,2480147.68611602,NL2_A
Nckap1,98933913.341566,NL2_A
Septin4,14874874.3450397,NL2_A
Napb,3085916.99694755,NL2_A
Marcksl1,452676.913486011,NL2_A
Kif5c,1291626.28345582,NL2_A
Kif2a,7734127.01341156,NL2_A
Kif3a,NA,NL2_A
Ptprm,NA,NL2_A
Prkcd,4239001.81380389,NL2_A
Epha3,NA,NL2_A
Pabpc1,13220205.1747795,NL2_A
Gnb4,5141795.82935936,NL2_A
Vcam1,NA,NL2_A
Nedd8,227954.650076534,NL2_A
Oat,NA,NL2_A
Ckmt1,7615116.39271109,NL2_A
Fkbp4,NA,NL2_A
Hmgb2,NA,NL2_A
Sstr3,NA,NL2_A
Ctnnd1,12635349.344333,NL2_A
Aimp1,NA,NL2_A
Prkar2b,21703346.4765599,NL2_A
Slc6a1,76648258.440679,NL2_A
Slc6a11,175620531.192359,NL2_A
Akt1,298943.186463173,NL2_A
Dbi,130506.359600283,NL2_A
Map2k1,13350025.5856742,NL2_A
