gs_long2,pct,condition2,cell,BioID
Aldh1a7,NA,NL2_A,Astrocyte,NL2
Pitpnm1,56,NL2_A,Astrocyte,NL2
Rab33b,23,NL2_A,Astrocyte,NL2
Gamt,22,NL2_A,Astrocyte,NL2
Sdc4,17,NL2_A,Astrocyte,NL2
Zw10,NA,NL2_A,Astrocyte,NL2
Ddost,67,NL2_A,Astrocyte,NL2
Ap3d1,80,NL2_A,Astrocyte,NL2
Srpk2,61,NL2_A,Astrocyte,NL2
Dapk3,NA,NL2_A,Astrocyte,NL2
Nmbr,NA,NL2_A,Astrocyte,NL2
Chka,6,NL2_A,Astrocyte,NL2
Rgs9,NA,NL2_A,Astrocyte,NL2
Rgs7,NA,NL2_A,Astrocyte,NL2
Csnk2a2,NA,NL2_A,Astrocyte,NL2
Gucy1b1,35,NL2_A,Astrocyte,NL2
Itgb3,NA,NL2_A,Astrocyte,NL2
Cd200,NA,NL2_A,Astrocyte,NL2
Reps1,58,NL2_A,Astrocyte,NL2
Akap2,42,NL2_A,Astrocyte,NL2
Nlk,NA,NL2_A,Astrocyte,NL2
Prkag1,NA,NL2_A,Astrocyte,NL2
Sema6b,NA,NL2_A,Astrocyte,NL2
Tnk2,NA,NL2_A,Astrocyte,NL2
Crym,85,NL2_A,Astrocyte,NL2
Get3,17,NL2_A,Astrocyte,NL2
Slk,35,NL2_A,Astrocyte,NL2
Cntnap1,78,NL2_A,Astrocyte,NL2
Mapkapk5,NA,NL2_A,Astrocyte,NL2
Bnip3,NA,NL2_A,Astrocyte,NL2
Trappc3,NA,NL2_A,Astrocyte,NL2
Cacna1b,NA,NL2_A,Astrocyte,NL2
Pgrmc1,36,NL2_A,Astrocyte,NL2
Impa1,64,NL2_A,Astrocyte,NL2
Entpd2,NA,NL2_A,Astrocyte,NL2
Bckdk,NA,NL2_A,Astrocyte,NL2
Copb2,79,NL2_A,Astrocyte,NL2
Nck2,NA,NL2_A,Astrocyte,NL2
Snca,46,NL2_A,Astrocyte,NL2
Tlk2,NA,NL2_A,Astrocyte,NL2
Pde6d,NA,NL2_A,Astrocyte,NL2
Tpmt,32,NL2_A,Astrocyte,NL2
Impact,52,NL2_A,Astrocyte,NL2
Stk10,NA,NL2_A,Astrocyte,NL2
Syngr1,77,NL2_A,Astrocyte,NL2
Strn,46,NL2_A,Astrocyte,NL2
Nipsnap1,43,NL2_A,Astrocyte,NL2
Nipsnap2,NA,NL2_A,Astrocyte,NL2
Sap18,NA,NL2_A,Astrocyte,NL2
Septin7,97,NL2_A,Astrocyte,NL2
Acot1,89,NL2_A,Astrocyte,NL2
Rpl35a,83,NL2_A,Astrocyte,NL2
Atp2a2,95,NL2_A,Astrocyte,NL2
Slc6a2,NA,NL2_A,Astrocyte,NL2
Supt5h,5,NL2_A,Astrocyte,NL2
Ilk,64,NL2_A,Astrocyte,NL2
Chkb,NA,NL2_A,Astrocyte,NL2
Psmb5,NA,NL2_A,Astrocyte,NL2
Rngtt,NA,NL2_A,Astrocyte,NL2
Dhx9,79,NL2_A,Astrocyte,NL2
Tesk1,NA,NL2_A,Astrocyte,NL2
Dpm1,NA,NL2_A,Astrocyte,NL2
Pip5k1c,60,NL2_A,Astrocyte,NL2
Stmn3,NA,NL2_A,Astrocyte,NL2
Pip4k2a,42,NL2_A,Astrocyte,NL2
Chrna4,NA,NL2_A,Astrocyte,NL2
Eif3d,50,NL2_A,Astrocyte,NL2
Pdlim3,NA,NL2_A,Astrocyte,NL2
Atp9a,33,NL2_A,Astrocyte,NL2
Eef1b,35,NL2_A,Astrocyte,NL2
Hmox2,NA,NL2_A,Astrocyte,NL2
Grk6,NA,NL2_A,Astrocyte,NL2
Atxn2,74,NL2_A,Astrocyte,NL2
Itgb5,28,NL2_A,Astrocyte,NL2
Nmt1,52,NL2_A,Astrocyte,NL2
Nmt2,78,NL2_A,Astrocyte,NL2
Epb41l2,98,NL2_A,Astrocyte,NL2
Gpx4,77,NL2_A,Astrocyte,NL2
Emc8,NA,NL2_A,Astrocyte,NL2
Pdlim1,NA,NL2_A,Astrocyte,NL2
Ulk1,NA,NL2_A,Astrocyte,NL2
Fhl2,NA,NL2_A,Astrocyte,NL2
Stx7,16,NL2_A,Astrocyte,NL2
Gnaz,83,NL2_A,Astrocyte,NL2
Slc16a7,63,NL2_A,Astrocyte,NL2
Sfn,NA,NL2_A,Astrocyte,NL2
Osmr,11,NL2_A,Astrocyte,NL2
Ugdh,NA,NL2_A,Astrocyte,NL2
Tnfaip1,NA,NL2_A,Astrocyte,NL2
Ubr1,12,NL2_A,Astrocyte,NL2
Stra6,NA,NL2_A,Astrocyte,NL2
Snx3,78,NL2_A,Astrocyte,NL2
Snx12,30,NL2_A,Astrocyte,NL2
Clcn7,NA,NL2_A,Astrocyte,NL2
Hsd17b12,53,NL2_A,Astrocyte,NL2
Hcn4,NA,NL2_A,Astrocyte,NL2
Diaph2,NA,NL2_A,Astrocyte,NL2
Smpd2,NA,NL2_A,Astrocyte,NL2
Dtnb,NA,NL2_A,Astrocyte,NL2
Cask,74,NL2_A,Astrocyte,NL2
Pfdn2,NA,NL2_A,Astrocyte,NL2
Rtn2,NA,NL2_A,Astrocyte,NL2
Ttc3,NA,NL2_A,Astrocyte,NL2
Cfdp1,NA,NL2_A,Astrocyte,NL2
Wiz,NA,NL2_A,Astrocyte,NL2
Znf326,NA,NL2_A,Astrocyte,NL2
Sorl1,NA,NL2_A,Astrocyte,NL2
Ntsr1,NA,NL2_A,Astrocyte,NL2
Ctnnal1,NA,NL2_A,Astrocyte,NL2
Wdr1,92,NL2_A,Astrocyte,NL2
Slc4a4,99,NL2_A,Astrocyte,NL2
Ikbkb,NA,NL2_A,Astrocyte,NL2
Vti1b,NA,NL2_A,Astrocyte,NL2
Tulp3,25,NL2_A,Astrocyte,NL2
Papss2,52,NL2_A,Astrocyte,NL2
Mtx2,NA,NL2_A,Astrocyte,NL2
Adcy1,16,NL2_A,Astrocyte,NL2
Klc1,62,NL2_A,Astrocyte,NL2
Klc2,8,NL2_A,Astrocyte,NL2
Dhcr7,65,NL2_A,Astrocyte,NL2
Capns1,8,NL2_A,Astrocyte,NL2
Dync1i1,99,NL2_A,Astrocyte,NL2
Dync1i2,46,NL2_A,Astrocyte,NL2
Plin4,1,NL2_A,Astrocyte,NL2
Cntfr,NA,NL2_A,Astrocyte,NL2
Dnmt3a,NA,NL2_A,Astrocyte,NL2
Ikbkg,NA,NL2_A,Astrocyte,NL2
Ppt1,NA,NL2_A,Astrocyte,NL2
Zfr,16,NL2_A,Astrocyte,NL2
Ddc,NA,NL2_A,Astrocyte,NL2
Cops3,22,NL2_A,Astrocyte,NL2
Cops4,NA,NL2_A,Astrocyte,NL2
Cops6,NA,NL2_A,Astrocyte,NL2
Slc27a3,NA,NL2_A,Astrocyte,NL2
Hnrnpa2b1,75,NL2_A,Astrocyte,NL2
Comt,59,NL2_A,Astrocyte,NL2
Cacng2,39,NL2_A,Astrocyte,NL2
Parg,4,NL2_A,Astrocyte,NL2
Usp2,NA,NL2_A,Astrocyte,NL2
Gosr1,NA,NL2_A,Astrocyte,NL2
Pak1,17,NL2_A,Astrocyte,NL2
Brd7,NA,NL2_A,Astrocyte,NL2
Psmc3,42,NL2_A,Astrocyte,NL2
Clpp,NA,NL2_A,Astrocyte,NL2
Stk16,NA,NL2_A,Astrocyte,NL2
Hcn2,NA,NL2_A,Astrocyte,NL2
Hcn1,NA,NL2_A,Astrocyte,NL2
Hcn3,NA,NL2_A,Astrocyte,NL2
Ctbp1,46,NL2_A,Astrocyte,NL2
Map7,14,NL2_A,Astrocyte,NL2
Bsn,67,NL2_A,Astrocyte,NL2
Birc6,50,NL2_A,Astrocyte,NL2
Gdap1,86,NL2_A,Astrocyte,NL2
Scrg1,NA,NL2_A,Astrocyte,NL2
Tom1,64,NL2_A,Astrocyte,NL2
Rpp30,NA,NL2_A,Astrocyte,NL2
Dcx,12,NL2_A,Astrocyte,NL2
Sc5d,NA,NL2_A,Astrocyte,NL2
Shd,NA,NL2_A,Astrocyte,NL2
Adam15,NA,NL2_A,Astrocyte,NL2
Idh1,85,NL2_A,Astrocyte,NL2
Akap10,15,NL2_A,Astrocyte,NL2
Arl6,NA,NL2_A,Astrocyte,NL2
Rbbp9,3,NL2_A,Astrocyte,NL2
Ccnk,NA,NL2_A,Astrocyte,NL2
Apaf1,NA,NL2_A,Astrocyte,NL2
Mpp3,NA,NL2_A,Astrocyte,NL2
Syn1,93,NL2_A,Astrocyte,NL2
Nfatc1,NA,NL2_A,Astrocyte,NL2
Lin7c,NA,NL2_A,Astrocyte,NL2
Gnpda1,32,NL2_A,Astrocyte,NL2
Setdb1,NA,NL2_A,Astrocyte,NL2
Stx8,NA,NL2_A,Astrocyte,NL2
Olfm1,NA,NL2_A,Astrocyte,NL2
Cpd,NA,NL2_A,Astrocyte,NL2
Robo1,NA,NL2_A,Astrocyte,NL2
Matn4,NA,NL2_A,Astrocyte,NL2
Sh3pxd2a,NA,NL2_A,Astrocyte,NL2
Mkln1,NA,NL2_A,Astrocyte,NL2
Itm2b,NA,NL2_A,Astrocyte,NL2
Coro1a,85,NL2_A,Astrocyte,NL2
Cope,NA,NL2_A,Astrocyte,NL2
Pde4a,NA,NL2_A,Astrocyte,NL2
Rbm3,NA,NL2_A,Astrocyte,NL2
Cd93,NA,NL2_A,Astrocyte,NL2
Fhit,NA,NL2_A,Astrocyte,NL2
Lancl1,59,NL2_A,Astrocyte,NL2
Dnajb5,NA,NL2_A,Astrocyte,NL2
Mt,34,NL2_A,Astrocyte,NL2
ADH1,100,NL2_A,Astrocyte,NL2
ADH2,92,NL2_A,Astrocyte,NL2
Dhfr,NA,NL2_A,Astrocyte,NL2
Mtco1,NA,NL2_A,Astrocyte,NL2
Mtco2,93,NL2_A,Astrocyte,NL2
mt,83,NL2_A,Astrocyte,NL2
Abl1,12,NL2_A,Astrocyte,NL2
Ca2,82,NL2_A,Astrocyte,NL2
Thy1,69,NL2_A,Astrocyte,NL2
Hba,91,NL2_A,Astrocyte,NL2
Hbb,85,NL2_A,Astrocyte,NL2
Hbb,86,NL2_A,Astrocyte,NL2
H3,88,NL2_A,Astrocyte,NL2
Lamc1,26,NL2_A,Astrocyte,NL2
Lamb1,NA,NL2_A,Astrocyte,NL2
KRT14,97,NL2_A,Astrocyte,NL2
Krt10,38,NL2_A,Astrocyte,NL2
KRT6A,92,NL2_A,Astrocyte,NL2
CSN1S1,27,NL2_A,Astrocyte,NL2
CSN1S2,NA,NL2_A,Astrocyte,NL2
AVD,100,NL2_A,Astrocyte,NL2
ALB,84,NL2_A,Astrocyte,NL2
ALB,62,NL2_A,Astrocyte,NL2
Mt2,NA,NL2_A,Astrocyte,NL2
Mt1,NA,NL2_A,Astrocyte,NL2
Mtnd1,53,NL2_A,Astrocyte,NL2
mt,NA,NL2_A,Astrocyte,NL2
mt,16,NL2_A,Astrocyte,NL2
Mtnd4,63,NL2_A,Astrocyte,NL2
Mtnd5,73,NL2_A,Astrocyte,NL2
Mtatp8,NA,NL2_A,Astrocyte,NL2
Iap,26,NL2_A,Astrocyte,NL2
H2,NA,NL2_A,Astrocyte,NL2
Gfap,96,NL2_A,Astrocyte,NL2
Krt1,32,NL2_A,Astrocyte,NL2
KRT6B,75,NL2_A,Astrocyte,NL2
KRT1,100,NL2_A,Astrocyte,NL2
Mbp,89,NL2_A,Astrocyte,NL2
Araf,73,NL2_A,Astrocyte,NL2
Slc4a1,NA,NL2_A,Astrocyte,NL2
Prnp,NA,NL2_A,Astrocyte,NL2
Aldoc,92,NL2_A,Astrocyte,NL2
Aldoa,99,NL2_A,Astrocyte,NL2
Prkaca,82,NL2_A,Astrocyte,NL2
Got1,NA,NL2_A,Astrocyte,NL2
Got2,78,NL2_A,Astrocyte,NL2
