GeneSymbol,FC,pval,sd,BioID,cell
Numa1,-3.649998,0.0199159702433862,0.0563873505435567,NL1,Astrocyte
Nrxn2,1.146812,0.302661063486496,0.19092993847044,NL1,Astrocyte
Fry,-1.032392,0.828457867335843,0.558360669946865,NL1,Astrocyte
Rap1gds1,1.275707,0.0695436628314607,0.117975797800391,NL1,Astrocyte
Dlg5,1.046164,0.755430798955614,0.142041459602943,NL1,Astrocyte
Sec16a,-2.195599,0.019294229387013,0.0171350858891704,NL1,Astrocyte
Syngap1,-1.629054,0.434024455353075,0.315776763877155,NL1,Astrocyte
Tpr,-7.886227,0.00428058634133333,0.0192563214408627,NL1,Astrocyte
Farp1,1.013596,0.890221789584174,0.118611467750394,NL1,Astrocyte
Nccrp1,-1.541924,0.325937823517588,0.119962651434905,NL1,Astrocyte
Sipa1l3,1.10999,0.561689054265108,0.305385105966703,NL1,Astrocyte
Arfgef1,-1.357798,0.185934981289384,0.0868649517748563,NL1,Astrocyte
Rab11fip2,-1.337113,0.11886479258427,0.142589513003455,NL1,Astrocyte
Atp2b1,1.134567,0.190556903775559,0.070541002564858,NL1,Astrocyte
Trip12,-1.355227,0.629887738656646,0.140103590556257,NL1,Astrocyte
Poglut3,-1.057766,0.992050571701356,0.531552655798246,NL1,Astrocyte
Fpgt,-1.364273,0.15751492631116,0.058945095709493,NL1,Astrocyte
Ank3,1.095275,0.43994423945885,0.163482894412872,NL1,Astrocyte
Tubgcp6,1.307092,0.159883766933911,0.250482754385186,NL1,Astrocyte
Arfip1,-1.819281,0.220958363208923,0.113557121580429,NL1,Astrocyte
Shisa8,-2.301238,0.3327233667218,0.451566867923279,NL1,Astrocyte
Capn2,-1.098221,0.337596038132807,0.00994808809193947,NL1,Astrocyte
S1pr1,1.290017,0.152559404805492,0.111221258290333,NL1,Astrocyte
Cacna2d1,1.1022,0.482028023244552,0.180464930260243,NL1,Astrocyte
Bin1,-1.203624,0.580323448363459,0.547858677059687,NL1,Astrocyte
Sec22b,-1.156341,0.396402154954955,0.106304688023572,NL1,Astrocyte
Dpysl2,-1.532381,0.0164232654205607,0.0206338079814447,NL1,Astrocyte
Rundc3a,-1.535748,0.236306582605145,0.25233953069588,NL1,Astrocyte
Emd,-1.115511,0.536550806803757,0.124000070645343,NL1,Astrocyte
Gtpbp1,-1.002039,0.997374733485194,0.082180701228957,NL1,Astrocyte
Alyref,-13.92324,0.186671358953995,0.0840176534703946,NL1,Astrocyte
Clta,1.301769,0.64958648066605,0.947562407515447,NL1,Astrocyte
Pten,1.557329,0.069164256812933,0.0940548753428731,NL1,Astrocyte
Stxbp1,1.169426,0.114129894340699,0.0890009216726798,NL1,Astrocyte
Endog,1.057736,0.741453430995823,0.11826520911725,NL1,Astrocyte
Myh11,-1.60743,0.297847600709975,0.225529657045144,NL1,Astrocyte
Ephb6,1.178108,0.169034483995794,0.119658767303215,NL1,Astrocyte
Map3k4,-3.115372,0.319713358208955,0.415175781019348,NL1,Astrocyte
Metap2,-1.456981,0.160818476416622,0.0795293060648081,NL1,Astrocyte
Kifc2,-2.517238,0.173153448181818,0.191664049959757,NL1,Astrocyte
Capn5,1.277454,0.124445595525606,0.177800457323152,NL1,Astrocyte
Prdx6,-1.240852,0.114922433081851,0.0608357859869522,NL1,Astrocyte
Akap1,-3.477985,0.0199159702433862,0.0603570924385194,NL1,Astrocyte
Casp6,-2.54738,0.676016218727273,2.07372211535535,NL1,Astrocyte
Ampd3,-1.546456,0.122632985901639,0.15865782256168,NL1,Astrocyte
Unc5c,1.662416,0.0577129148197597,0.195974584490711,NL1,Astrocyte
Dld,1.290387,0.183245401328125,0.238794299690289,NL1,Astrocyte
Hsd17b10,1.398227,0.0316939970852713,0.15800600954628,NL1,Astrocyte
Ube3a,1.045032,0.571826837706129,0.122179551482219,NL1,Astrocyte
Tcof1,-23.32942,0.0011065852874,0.00345874651326535,NL1,Astrocyte
Clock,1.009873,0.905716952259096,0.424557562850532,NL1,Astrocyte
Dctn1,-1.504617,0.0426942077584906,0.0538442947132018,NL1,Astrocyte
Prkcsh,-1.300111,0.348341306433883,0.214515394120052,NL1,Astrocyte
Prdx4,1.07333,0.813070583706205,0.197549750989072,NL1,Astrocyte
Diaph1,-1.224166,0.146948327110065,0.0609333549757526,NL1,Astrocyte
Eftud2,1.053239,0.631981278124267,0.188500122524746,NL1,Astrocyte
Gfra2,1.365846,0.352032378920308,0.487183427104632,NL1,Astrocyte
RO60,1.22707,0.102510019685535,0.0344594733470425,NL1,Astrocyte
Pik3r2,1.543877,0.540144161417721,1.66596847099282,NL1,Astrocyte
Faah,1.214556,0.0965224916107383,0.0762176309741748,NL1,Astrocyte
Aip,-1.027681,0.867941799550562,0.526782007451303,NL1,Astrocyte
Flot1,1.227509,0.0976934495174709,0.0835039917847526,NL1,Astrocyte
Numbl,1.045265,0.460330445116919,0.0745332174258846,NL1,Astrocyte
Cyth3,1.003721,0.972528624363917,0.239160442115266,NL1,Astrocyte
Sdcbp,1.046898,0.743559821753461,0.177542060963461,NL1,Astrocyte
Pex5,-1.777488,0.0799230506824926,0.0598661469815748,NL1,Astrocyte
Snap23,3.447972,0.0240041875121951,0.620936872995332,NL1,Astrocyte
Map2k3,1.120228,0.558373559501247,0.207853077944863,NL1,Astrocyte
Ndufb11,1.232871,0.16502273326226,0.0873411528013462,NL1,Astrocyte
Ptgds,2.599763,0.0655834837717122,0.708611468180998,NL1,Astrocyte
Sema4d,-1.036159,0.772207815052836,0.112658330804519,NL1,Astrocyte
Epha8,1.222163,0.307622571488033,0.186566407584421,NL1,Astrocyte
Rpl21,1.270523,0.076637849053498,0.137693426066014,NL1,Astrocyte
Gclm,1.388338,0.0787149086639676,0.0479238219059996,NL1,Astrocyte
Amacr,-1.391617,0.17894128958711,0.199853566685095,NL1,Astrocyte
Kif1c,-13.87853,0.153765953028765,0.148177346252189,NL1,Astrocyte
Vps26c,1.21651,0.321909174341661,0.22126748049333,NL1,Astrocyte
Agpat1,1.214761,0.285275815452215,0.160278555130032,NL1,Astrocyte
Dpysl4,1.075732,0.43052403854316,0.0416723301087534,NL1,Astrocyte
Map3k5,1.052803,0.933341101618634,0.281598668650362,NL1,Astrocyte
Phb2,1.267475,0.231300154731138,0.110872658228545,NL1,Astrocyte
Ncam2,1.179045,0.0456219766735395,0.0558137675306654,NL1,Astrocyte
Atp5if1,-1.028492,0.902843150951713,0.86958273925625,NL1,Astrocyte
Slc30a4,4.283128,0.355214727412141,1.83243510915153,NL1,Astrocyte
Cx3cl1,1.181948,0.357993250825921,0.129452824466844,NL1,Astrocyte
Ddt,-1.366153,0.571168246381093,0.281680526901575,NL1,Astrocyte
Cpsf2,-1.077282,0.842511125450404,0.724341165114928,NL1,Astrocyte
Psmd4,1.31656,0.0244432543937008,0.0668922722075608,NL1,Astrocyte
Ptpn9,1.068749,0.518483799534041,0.171084544506995,NL1,Astrocyte
Exoc7,-1.368658,0.601392117264467,0.726937972002776,NL1,Astrocyte
Dhx15,-1.264452,0.230254820033389,0.0878018573589203,NL1,Astrocyte
Purb,1.140676,0.337397598158501,0.200221552831956,NL1,Astrocyte
Slc6a6,-1.078521,0.579701750537634,0.185518163162472,NL1,Astrocyte
Kpna3,-2.256482,0.0241803138313253,0.101659458455634,NL1,Astrocyte
Kpna6,1.503723,0.237404656201708,0.247835538545942,NL1,Astrocyte
Capn1,1.168068,0.27386759431988,0.0381463242806513,NL1,Astrocyte
Nrp2,1.229857,0.431319842979943,0.262048605191628,NL1,Astrocyte
Exoc4,-1.055874,0.58593284664723,0.134907664536762,NL1,Astrocyte
Efnb3,1.405183,0.227742647058824,0.353379382277557,NL1,Astrocyte
Pld3,1.15826,0.441057562492981,0.129132184001299,NL1,Astrocyte
Rnf5,1.439411,0.0666214416444982,0.199825703688453,NL1,Astrocyte
Clcn6,1.014928,0.880935029534836,0.154565467363218,NL1,Astrocyte
Sema6a,1.99251,0.208051170614426,0.824478400129304,NL1,Astrocyte
Fkbp8,1.074984,0.446538252860731,0.133067480418413,NL1,Astrocyte
Cdk14,1.408405,0.179820966459378,0.155226285752722,NL1,Astrocyte
Notch2,-1.04708,0.802941135467458,0.192630565423589,NL1,Astrocyte
Stx1a,1.340454,0.215907677693316,0.327827275416383,NL1,Astrocyte
Slc1a6,-1.981246,0.517655494715026,1.13568366705785,NL1,Astrocyte
Rabep1,-3.406788,0.0157337731051546,0.0155235201628969,NL1,Astrocyte
Psmd14,-1.005878,0.967267154775227,0.208191326745094,NL1,Astrocyte
Npc1,8.356741,0.0338299695172414,4.9432372333095,NL1,Astrocyte
Bmpr2,1.798113,0.0193822459975758,0.166472371667339,NL1,Astrocyte
Scamp3,1.443608,0.260867258596762,0.352158108814276,NL1,Astrocyte
Pmm1,1.148228,0.287007487591241,0.0903700256907267,NL1,Astrocyte
Bet1,13.57413,0.718557029514044,26.6164962255417,NL1,Astrocyte
Axin1,-1.249778,0.0937550748091603,0.0390909181785901,NL1,Astrocyte
Slc32a1,1.289892,0.0630302008854962,0.0286404350447825,NL1,Astrocyte
Stag2,-2.378024,0.147487207723815,0.182437035684971,NL1,Astrocyte
Anxa3,-1.263739,0.518090950738151,0.324922471252128,NL1,Astrocyte
Ap1b1,1.181184,0.212541400599647,0.199705998410251,NL1,Astrocyte
