GeneSymbol,FC,pval,BioID,cell
Pld3,1.15826,0.2979983,NL1,Astrocyte
Rnf5,1.439411,0.01045067,NL1,Astrocyte
Clcn6,1.014928,0.8226153,NL1,Astrocyte
Sema6a,1.99251,0.08863485,NL1,Astrocyte
Fkbp8,1.074984,0.30348,NL1,Astrocyte
Cdk14,1.408405,0.06792284,NL1,Astrocyte
Notch2,-1.04708,0.718413,NL1,Astrocyte
Stx1a,1.340454,0.09368417,NL1,Astrocyte
Slc1a6,-1.981246,0.3790118,NL1,Astrocyte
Rabep1,-3.406788,0.0002785129,NL1,Astrocyte
Psmd14,-1.005878,0.950619,NL1,Astrocyte
Npc1,8.356741,0.002605267,NL1,Astrocyte
Bmpr2,1.798113,0.0006040712,NL1,Astrocyte
Scamp3,1.443608,0.1283554,NL1,Astrocyte
Pmm1,1.148228,0.1491655,NL1,Astrocyte
Bet1,13.57413,0.6114277,NL1,Astrocyte
Axin1,-1.249778,0.02096685,NL1,Astrocyte
Slc32a1,1.289892,0.009397143,NL1,Astrocyte
Stag2,-2.378024,0.0477882,NL1,Astrocyte
Anxa3,-1.263739,0.3794289,NL1,Astrocyte
Ap1b1,1.181184,0.09143473,NL1,Astrocyte
Hap1,-1.83173,0.4342034,NL1,Astrocyte
Mgll,1.206547,0.01195694,NL1,Astrocyte
Mrps12,1.946469,0.03422443,NL1,Astrocyte
Syt3,1.043607,0.7636843,NL1,Astrocyte
Myadm,1.276247,0.1083479,NL1,Astrocyte
Ndufa1,1.382543,0.1303755,NL1,Astrocyte
Nudc,-4.104661,0.0007401334,NL1,Astrocyte
Enc1,1.364278,0.08156323,NL1,Astrocyte
Noct,-1.076353,0.6773704,NL1,Astrocyte
Ppfibp2,1.684186,0.08116593,NL1,Astrocyte
Hnrnph1,-1.037516,0.6158138,NL1,Astrocyte
Api5,-16.20664,0.05399286,NL1,Astrocyte
Bcat2,1.37835,0.1000926,NL1,Astrocyte
Timm44,-1.897209,0.005658012,NL1,Astrocyte
Cops5,-1.00983,0.7786139,NL1,Astrocyte
Slc1a4,1.644475,0.1607265,NL1,Astrocyte
Pik3cd,1.096757,0.6029261,NL1,Astrocyte
Cdk5r2,1.013857,0.9575313,NL1,Astrocyte
Ctnnd2,1.761601,0.02588722,NL1,Astrocyte
Aldh1a7,3.455985,0.1707498,NL1,Astrocyte
Pitpnm1,1.026704,0.6368268,NL1,Astrocyte
Rab33b,1.434886,7.635809e-05,NL1,Astrocyte
Gamt,-1.490161,0.05171226,NL1,Astrocyte
Sdc4,-8.290354,0.9055283,NL1,Astrocyte
Zw10,-3.641648,0.01016779,NL1,Astrocyte
Ddost,1.260827,0.00451548,NL1,Astrocyte
Ap3d1,1.065594,0.4592601,NL1,Astrocyte
Srpk2,-1.098609,0.02511917,NL1,Astrocyte
Dapk3,-1.407268,0.2144594,NL1,Astrocyte
Nmbr,1.049767,0.7132397,NL1,Astrocyte
Rgs9,1.184531,0.3968374,NL1,Astrocyte
Rgs7,1.281671,0.08454008,NL1,Astrocyte
Csnk2a2,-1.184557,0.07606155,NL1,Astrocyte
Gucy1b1,1.213998,0.1543366,NL1,Astrocyte
Itgb3,-1.43523,0.336303,NL1,Astrocyte
Cd200,1.039223,0.6803414,NL1,Astrocyte
Reps1,-1.107511,0.3596976,NL1,Astrocyte
Akap2,-2.028089,0.01084677,NL1,Astrocyte
Nlk,-2.789831,0.1827646,NL1,Astrocyte
Prkag1,1.013487,0.8439779,NL1,Astrocyte
Sema6b,1.232538,0.09841758,NL1,Astrocyte
Tnk2,1.1856,0.398961,NL1,Astrocyte
Crym,1.342342,0.02427551,NL1,Astrocyte
Get3,1.068324,0.1476039,NL1,Astrocyte
Slk,1.044954,0.4586033,NL1,Astrocyte
Cntnap1,1.092453,0.3931819,NL1,Astrocyte
Mapkapk5,-1.585162,0.4497926,NL1,Astrocyte
Bnip3,17.8893,0.2395663,NL1,Astrocyte
Trappc3,-1.506363,0.05276576,NL1,Astrocyte
Cacna1b,1.495476,0.2203733,NL1,Astrocyte
Pgrmc1,1.108047,0.3456342,NL1,Astrocyte
Impa1,1.012945,0.7837267,NL1,Astrocyte
Entpd2,1.750822,0.127042,NL1,Astrocyte
Bckdk,1.076843,0.7683629,NL1,Astrocyte
Copb2,-1.165911,0.02314312,NL1,Astrocyte
Nck2,-1.08608,0.7730435,NL1,Astrocyte
Snca,-1.100659,0.5156246,NL1,Astrocyte
Tlk2,-2.030806,0.001422298,NL1,Astrocyte
Pde6d,1.254603,0.3501144,NL1,Astrocyte
Tpmt,-1.76237,0.02239229,NL1,Astrocyte
Impact,-1.080534,0.3798813,NL1,Astrocyte
Stk10,-1.021945,0.8861084,NL1,Astrocyte
Syngr1,1.419745,0.1221668,NL1,Astrocyte
Strn,-2.261881,0.0008011719,NL1,Astrocyte
Nipsnap1,1.291999,0.00261914,NL1,Astrocyte
Nipsnap2,1.445275,0.004330313,NL1,Astrocyte
Sap18,1.525555,0.01154819,NL1,Astrocyte
Septin7,1.07018,0.4752986,NL1,Astrocyte
Acot1,-2.008842,0.01161634,NL1,Astrocyte
Rpl35a,1.261185,0.00466646,NL1,Astrocyte
Atp2a2,1.205254,0.0347326,NL1,Astrocyte
Slc6a2,6.760225,0.1240178,NL1,Astrocyte
Supt5h,1.053281,0.4374121,NL1,Astrocyte
Ilk,1.109217,0.2286305,NL1,Astrocyte
Chkb,7.854255,0.02752753,NL1,Astrocyte
Psmb5,-1.014506,0.9922983,NL1,Astrocyte
Rngtt,-1.125622,0.5499367,NL1,Astrocyte
Dhx9,-1.015431,0.8212579,NL1,Astrocyte
Tesk1,1.17051,0.3058218,NL1,Astrocyte
Dpm1,1.172339,0.4874883,NL1,Astrocyte
Pip5k1c,1.253309,0.006238402,NL1,Astrocyte
Stmn3,4.417947,0.02509228,NL1,Astrocyte
Pip4k2a,-1.008393,0.9135014,NL1,Astrocyte
Chrna4,1.152779,0.1944203,NL1,Astrocyte
Eif3d,-1.116598,0.2253256,NL1,Astrocyte
Pdlim3,-1.264036,0.3785452,NL1,Astrocyte
Atp9a,1.400766,0.00349209,NL1,Astrocyte
Eef1b,-2.205814,0.007963505,NL1,Astrocyte
Hmox2,-1.003453,0.7904413,NL1,Astrocyte
Grk6,-1.401758,0.1080481,NL1,Astrocyte
Atxn2,-1.758281,0.01107424,NL1,Astrocyte
Itgb5,1.383042,0.04781025,NL1,Astrocyte
